Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Madagascar,MDG,"School enrollment, tertiary, female (% gross)",1.84922,1.87118,2.02831,2.44628,2.52183,2.67833,3.07924,3.09257,3.31752,3.50057,3.91773
Maldives,MDV,"School enrollment, tertiary, female (% gross)",,,0.2833,,,,12.95517,12.98919,,,
Middle East & North Africa,MEA,"School enrollment, tertiary, female (% gross)",19.84078979,20.66227913,21.53174973,22.81623077,24.21854973,25.54286003,27.09296036,30.13165092,30.36416054,32.02715,32.83596
Mexico,MEX,"School enrollment, tertiary, female (% gross)",20.45084,21.46165,22.39288,23.28512,23.92174,24.41291,25.04819,25.75689,26.289,27.25701,28.03772
Marshall Islands,MHL,"School enrollment, tertiary, female (% gross)",,18.47157,,,,,,,,,
Middle income,MIC,"School enrollment, tertiary, female (% gross)",14.68700981,16.21552086,17.45628929,18.53141022,19.51767921,20.73996925,21.91316986,23.25580025,24.4307003,25.84844,27.94507
North Macedonia,MKD,"School enrollment, tertiary, female (% gross)",27.99686,30.45602,31.35947,32.40602,34.05573,33.39221,38.76928,42.81627,42.65954,40.3952,
Mali,MLI,"School enrollment, tertiary, female (% gross)",1.38541,1.3951,,,,,,3.39174,3.47904,3.5636,3.25185
Malta,MLT,"School enrollment, tertiary, female (% gross)",28.67616,28.97524,35.64834,30.72247,37.20361,35.69725,39.55774,38.44913,41.02061,42.94957,46.12488
Myanmar,MMR,"School enrollment, tertiary, female (% gross)",,,,,,,12.22353,,,,16.19707
Middle East & North Africa (excluding high income),MNA,"School enrollment, tertiary, female (% gross)",18.70832062,19.48266029,20.11935997,21.36470985,22.80373955,24.21270943,25.8621006,29.19971085,29.27582932,30.74105,31.28574
Montenegro,MNE,"School enrollment, tertiary, female (% gross)",20.55035,19.42036,20.63104,24.70164,27.24695,31.74316,39.04086,45.85667,55.85345,58.33446,
Mongolia,MNG,"School enrollment, tertiary, female (% gross)",43.74216,46.0734,48.41948,51.46898,55.90934,58.5832,57.38953,59.38315,62.58965,65.11734,66.50181
Northern Mariana Islands,MNP,"School enrollment, tertiary, female (% gross)",,,,,,,,,,,
