Country Name,Country Code,Indicator Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
St. Kitts and Nevis,KNA,"Foreign direct investment, net inflows (BoP, current US$)",88230740.74,79771688.89,75612162.96,55771474.07,92994488.89,110415630.4,134484438.1,177906026.7,130750839.3,116268480,109632707
"Korea, Rep.",KOR,"Foreign direct investment, net inflows (BoP, current US$)",6522300000,5475100000,7010000000,13294400000,13643200000,9161900000,8826900000,11187500000,9021900000,9497400000,9773000000
Kuwait,KWT,"Foreign direct investment, net inflows (BoP, current US$)",-111516284.5,3619441.977,-67111499.34,23752969.12,233904109.6,121305596.3,111535690.2,-5951752.859,1113588047,1304627500,3259067552
Latin America & Caribbean (excluding high income),LAC,"Foreign direct investment, net inflows (BoP, current US$)",66524896156,51590309651,38699927272,58870023173,67913334574,63468473654,1.13304E+11,1.24825E+11,75378593597,1.38729E+11,1.77335E+11
Lao PDR,LAO,"Foreign direct investment, net inflows (BoP, current US$)",23904284.13,4451297.031,19484000.8,16917263,27720000,187310641,323520000,227770000,318598209.1,278805903.1,300743507.1
Lebanon,LBN,"Foreign direct investment, net inflows (BoP, current US$)",1453907000,1335970000,2860020313,1898780570,2623502612,2674534372,3375980758,4333045470,4803602660,4279880835,3137050288
Liberia,LBR,"Foreign direct investment, net inflows (BoP, current US$)",8300000,2800000,372220000,75351731.65,82802111.44,107856671.5,131637661.6,283536077.4,127803424.5,2064680994,2086006933
Libya,LBY,"Foreign direct investment, net inflows (BoP, current US$)",-133000000,145000000,143000000,357000000,1038000000,2064000000,4689000000,4111300000,1371000000,1784000000,
St. Lucia,LCA,"Foreign direct investment, net inflows (BoP, current US$)",58807407.41,51935414.81,106425925.9,76520285.19,78233429.63,233934733.3,271891074.1,161210706.3,146397591.1,121296972.6,96416427.78
Latin America & Caribbean,LCN,"Foreign direct investment, net inflows (BoP, current US$)",78441805766,64478182701,57900893317,1.00601E+11,81517949411,1.14978E+11,1.97909E+11,2.24652E+11,1.5656E+11,2.24134E+11,2.8525E+11
Least developed countries: UN classification,LDC,"Foreign direct investment, net inflows (BoP, current US$)",6058364118,5916374187,9370002683,8837274715,5774202911,9125567610,12620070928,18618251985,15360509874,18199963083,23502680374
Low income,LIC,"Foreign direct investment, net inflows (BoP, current US$)",2668249134,2776324507,3399783775,3900518984,3236472981,5346137982,8748476134,11960242962,9613528032,14558556132,16925132667
Liechtenstein,LIE,"Foreign direct investment, net inflows (BoP, current US$)",9389136116,6864257255,17305461701,1845838359,-266949356.7,44598433612,33538242375,16214866193,29934896948,29875940865,26414902947
Sri Lanka,LKA,"Foreign direct investment, net inflows (BoP, current US$)",171790000,196500000,228720000,232800000,272400000,479700000,603000000,752200000,404000000,477559000,955920000
Lower middle income,LMC,"Foreign direct investment, net inflows (BoP, current US$)",13190064791,19761311184,20553714207,25103536129,48501798468,70265360518,94656421937,1.22849E+11,94004196146,91832914235,1.09798E+11
